Driver,Experience,Racecraft,Awareness,Pace,Overall
Max Verstappen,85,98,94,96,96
Fernando Alonso,99,94,81,91,92
Carlos Sainz,85,93,89,88,89
Charles Leclerc,78,91,90,89,89
Lando Norris,78,89,85,90,89
Lewis Hamilton,97,90,92,87,89
George Russell,78,87,84,88,87
Sergio Perez,91,93,79,85,87
Alex Albon,77,83,79,87,85
Oscar Piastri,62,85,81,86,84
Pierre Gasly,79,85,78,85,84
Esteban Ocon,79,83,80,83,83
Daniel Ricciardo,89,81,85,82,82
Nico Hulkenberg,85,82,85,81,82
Valtteri Bottas,88,72,97,83,81
Yuki Tsunoda,72,74,77,86,81
Kevin Magnussen,82,75,79,82,80
Lance Stroll,80,83,79,79,80
Zhou Guanyu,68,78,82,83,80
Logan Sargeant,62,68,75,72,70
